OBJECTID,ISO_CODE,COUNTRY_NAME,Date_epicrv,NewCase,TotalCase,NewDeath,TotalDeath
70,ALB,Albania,2020-03-18T00:00:00.000Z,4,59,1,2
71,ALB,Albania,2020-03-19T00:00:00.000Z,11,70,0,2
72,ALB,Albania,2020-03-20T00:00:00.000Z,0,70,0,2
73,ALB,Albania,2020-03-21T00:00:00.000Z,6,76,0,2
74,ALB,Albania,2020-03-22T00:00:00.000Z,0,76,0,2
75,ALB,Albania,2020-03-23T00:00:00.000Z,13,89,0,2
76,ALB,Albania,2020-03-24T00:00:00.000Z,34,123,2,4
77,ALB,Albania,2020-03-25T00:00:00.000Z,23,146,1,5
78,ALB,Albania,2020-03-26T00:00:00.000Z,28,174,0,5
79,ALB,Albania,2020-03-27T00:00:00.000Z,12,186,3,8
80,ALB,Albania,2020-03-28T00:00:00.000Z,11,197,1,9
81,ALB,Albania,2020-03-29T00:00:00.000Z,15,212,1,10
82,ALB,Albania,2020-03-30T00:00:00.000Z,11,223,0,10
83,ALB,Albania,2020-03-31T00:00:00.000Z,0,223,1,11
84,ALB,Albania,2020-04-01T00:00:00.000Z,20,243,2,13
85,ALB,Albania,2020-04-02T00:00:00.000Z,34,277,2,15
86,ALB,Albania,2020-04-03T00:00:00.000Z,0,277,1,16
87,ALB,Albania,2020-04-04T00:00:00.000Z,56,333,1,17
88,ALB,Albania,2020-04-05T00:00:00.000Z,0,333,1,18
89,ALB,Albania,2020-04-06T00:00:00.000Z,44,377,3,21
90,ALB,Albania,2020-04-07T00:00:00.000Z,0,377,1,22
91,ALB,Albania,2020-04-08T00:00:00.000Z,23,400,0,22
92,ALB,Albania,2020-04-09T00:00:00.000Z,9,409,0,22
93,ALB,Albania,2020-04-10T00:00:00.000Z,7,416,1,23
94,ALB,Albania,2020-04-11T00:00:00.000Z,0,416,0,23
95,ALB,Albania,2020-04-12T00:00:00.000Z,30,446,0,23
96,ALB,Albania,2020-04-13T00:00:00.000Z,0,446,0,23
97,ALB,Albania,2020-04-14T00:00:00.000Z,29,475,0,23
98,ALB,Albania,2020-04-15T00:00:00.000Z,0,475,1,24
99,ALB,Albania,2020-04-16T00:00:00.000Z,19,494,1,25
100,ALB,Albania,2020-04-17T00:00:00.000Z,24,518,1,26
101,ALB,Albania,2020-04-18T00:00:00.000Z,30,548,0,26
102,ALB,Albania,2020-04-19T00:00:00.000Z,0,548,0,26
103,ALB,Albania,2020-04-20T00:00:00.000Z,14,562,0,26
104,ALB,Albania,2020-04-21T00:00:00.000Z,47,609,0,26
105,ALB,Albania,2020-04-22T00:00:00.000Z,25,634,0,26
106,ALB,Albania,2020-04-23T00:00:00.000Z,0,634,0,26
107,DZA,Algeria,2020-02-25T00:00:00.000Z,1,1,0,0
108,DZA,Algeria,2020-02-26T00:00:00.000Z,0,1,0,0
109,DZA,Algeria,2020-02-27T00:00:00.000Z,0,1,0,0
110,DZA,Algeria,2020-02-28T00:00:00.000Z,0,1,0,0
111,DZA,Algeria,2020-02-29T00:00:00.000Z,0,1,0,0
112,DZA,Algeria,2020-03-01T00:00:00.000Z,0,1,0,0
113,DZA,Algeria,2020-03-02T00:00:00.000Z,2,3,0,0
114,DZA,Algeria,2020-03-03T00:00:00.000Z,2,5,0,0
115,DZA,Algeria,2020-03-04T00:00:00.000Z,7,12,0,0
116,DZA,Algeria,2020-03-05T00:00:00.000Z,0,12,0,0
117,DZA,Algeria,2020-03-06T00:00:00.000Z,5,17,0,0
118,DZA,Algeria,2020-03-07T00:00:00.000Z,0,17,0,0
119,DZA,Algeria,2020-03-08T00:00:00.000Z,0,17,0,0
120,DZA,Algeria,2020-03-09T00:00:00.000Z,3,20,0,0
121,DZA,Algeria,2020-03-10T00:00:00.000Z,0,20,0,0
122,DZA,Algeria,2020-03-11T00:00:00.000Z,0,20,0,0
123,DZA,Algeria,2020-03-12T00:00:00.000Z,5,25,1,1
124,DZA,Algeria,2020-03-13T00:00:00.000Z,0,25,0,1
125,DZA,Algeria,2020-03-14T00:00:00.000Z,12,37,1,2
126,DZA,Algeria,2020-03-15T00:00:00.000Z,12,49,1,3
127,DZA,Algeria,2020-03-16T00:00:00.000Z,0,49,1,4
128,DZA,Algeria,2020-03-17T00:00:00.000Z,11,60,0,4
129,DZA,Algeria,2020-03-18T00:00:00.000Z,12,72,2,6
130,DZA,Algeria,2020-03-19T00:00:00.000Z,10,82,1,7
131,DZA,Algeria,2020-03-20T00:00:00.000Z,12,94,3,10
132,DZA,Algeria,2020-03-21T00:00:00.000Z,0,94,5,15
133,DZA,Algeria,2020-03-22T00:00:00.000Z,45,139,0,15
134,DZA,Algeria,2020-03-23T00:00:00.000Z,62,201,2,17
135,DZA,Algeria,2020-03-24T00:00:00.000Z,30,231,0,17
136,DZA,Algeria,2020-03-25T00:00:00.000Z,33,264,0,17
137,DZA,Algeria,2020-03-26T00:00:00.000Z,0,264,0,17
138,DZA,Algeria,2020-03-27T00:00:00.000Z,41,305,4,21
139,DZA,Algeria,2020-03-28T00:00:00.000Z,62,367,4,25
140,DZA,Algeria,2020-03-29T00:00:00.000Z,42,409,1,26
141,DZA,Algeria,2020-03-30T00:00:00.000Z,45,454,3,29
142,DZA,Algeria,2020-03-31T00:00:00.000Z,57,511,2,31
143,DZA,Algeria,2020-04-01T00:00:00.000Z,73,584,4,35
144,DZA,Algeria,2020-04-02T00:00:00.000Z,263,847,23,58
145,DZA,Algeria,2020-04-03T00:00:00.000Z,139,986,25,83
146,DZA,Algeria,2020-04-04T00:00:00.000Z,185,1171,22,105
147,DZA,Algeria,2020-04-05T00:00:00.000Z,80,1251,25,130
148,DZA,Algeria,2020-04-06T00:00:00.000Z,0,1251,0,130
149,DZA,Algeria,2020-04-07T00:00:00.000Z,172,1423,43,173
150,DZA,Algeria,2020-04-08T00:00:00.000Z,45,1468,21,194
151,DZA,Algeria,2020-04-09T00:00:00.000Z,104,1572,11,205
152,DZA,Algeria,2020-04-10T00:00:00.000Z,94,1666,30,235
153,DZA,Algeria,2020-04-11T00:00:00.000Z,95,1761,21,256
154,DZA,Algeria,2020-04-12T00:00:00.000Z,64,1825,19,275
155,DZA,Algeria,2020-04-13T00:00:00.000Z,89,1914,18,293
156,DZA,Algeria,2020-04-14T00:00:00.000Z,69,1983,20,313
157,DZA,Algeria,2020-04-15T00:00:00.000Z,87,2070,13,326
158,DZA,Algeria,2020-04-16T00:00:00.000Z,90,2160,10,336
159,DZA,Algeria,2020-04-17T00:00:00.000Z,108,2268,12,348
160,DZA,Algeria,2020-04-18T00:00:00.000Z,150,2418,16,364
161,DZA,Algeria,2020-04-19T00:00:00.000Z,116,2534,3,367
162,DZA,Algeria,2020-04-20T00:00:00.000Z,95,2629,8,375
163,DZA,Algeria,2020-04-21T00:00:00.000Z,89,2718,9,384
164,DZA,Algeria,2020-04-22T00:00:00.000Z,93,2811,8,392
165,DZA,Algeria,2020-04-23T00:00:00.000Z,99,2910,10,402
166,AND,Andorra,2020-03-02T00:00:00.000Z,1,1,0,0
167,AND,Andorra,2020-03-03T00:00:00.000Z,0,1,0,0
168,AND,Andorra,2020-03-04T00:00:00.000Z,0,1,0,0
169,AND,Andorra,2020-03-05T00:00:00.000Z,0,1,0,0
170,AND,Andorra,2020-03-06T00:00:00.000Z,0,1,0,0
171,AND,Andorra,2020-03-07T00:00:00.000Z,0,1,0,0
172,AND,Andorra,2020-03-08T00:00:00.000Z,0,1,0,0
173,AND,Andorra,2020-03-09T00:00:00.000Z,0,1,0,0
174,AND,Andorra,2020-03-10T00:00:00.000Z,0,1,0,0
175,AND,Andorra,2020-03-11T00:00:00.000Z,0,1,0,0
176,AND,Andorra,2020-03-12T00:00:00.000Z,0,1,0,0
177,AND,Andorra,2020-03-13T00:00:00.000Z,1,2,0,0
178,AND,Andorra,2020-03-14T00:00:00.000Z,0,2,0,0
179,AND,Andorra,2020-03-15T00:00:00.000Z,0,2,0,0
180,AND,Andorra,2020-03-16T00:00:00.000Z,12,14,0,0
181,AND,Andorra,2020-03-17T00:00:00.000Z,2,16,0,0
182,AND,Andorra,2020-03-18T00:00:00.000Z,23,39,0,0
183,AND,Andorra,2020-03-19T00:00:00.000Z,36,75,0,0
184,AND,Andorra,2020-03-20T00:00:00.000Z,0,75,0,0
185,AND,Andorra,2020-03-21T00:00:00.000Z,13,88,0,0
186,AND,Andorra,2020-03-22T00:00:00.000Z,0,88,0,0
187,AND,Andorra,2020-03-23T00:00:00.000Z,25,113,0,0
188,AND,Andorra,2020-03-24T00:00:00.000Z,51,164,1,1
189,AND,Andorra,2020-03-25T00:00:00.000Z,24,188,0,1
190,AND,Andorra,2020-03-26T00:00:00.000Z,25,213,2,3
191,AND,Andorra,2020-03-27T00:00:00.000Z,18,231,0,3
192,AND,Andorra,2020-03-28T00:00:00.000Z,58,289,0,3
193,AND,Andorra,2020-03-29T00:00:00.000Z,32,321,1,4
194,AND,Andorra,2020-03-30T00:00:00.000Z,20,341,2,6
195,AND,Andorra,2020-03-31T00:00:00.000Z,29,370,2,8
196,AND,Andorra,2020-04-01T00:00:00.000Z,6,376,4,12
197,AND,Andorra,2020-04-02T00:00:00.000Z,20,396,1,13
198,AND,Andorra,2020-04-03T00:00:00.000Z,33,429,2,15
199,AND,Andorra,2020-04-04T00:00:00.000Z,13,442,1,16
200,AND,Andorra,2020-04-05T00:00:00.000Z,24,466,1,17
201,AND,Andorra,2020-04-06T00:00:00.000Z,57,523,0,17
202,AND,Andorra,2020-04-07T00:00:00.000Z,17,540,4,21
203,AND,Andorra,2020-04-08T00:00:00.000Z,11,551,1,22
204,AND,Andorra,2020-04-09T00:00:00.000Z,15,566,2,24
205,AND,Andorra,2020-04-10T00:00:00.000Z,23,589,2,26
206,AND,Andorra,2020-04-11T00:00:00.000Z,13,602,0,26
207,AND,Andorra,2020-04-12T00:00:00.000Z,20,622,2,28
208,AND,Andorra,2020-04-13T00:00:00.000Z,17,639,1,29
209,AND,Andorra,2020-04-14T00:00:00.000Z,12,651,0,29
210,AND,Andorra,2020-04-15T00:00:00.000Z,8,659,2,31
211,AND,Andorra,2020-04-16T00:00:00.000Z,14,673,2,33
212,AND,Andorra,2020-04-17T00:00:00.000Z,21,694,1,34
213,AND,Andorra,2020-04-18T00:00:00.000Z,9,703,1,35
214,AND,Andorra,2020-04-19T00:00:00.000Z,1,704,0,35
215,AND,Andorra,2020-04-20T00:00:00.000Z,13,717,1,36
216,AND,Andorra,2020-04-21T00:00:00.000Z,1,718,0,36
217,AND,Andorra,2020-04-22T00:00:00.000Z,5,723,1,37
218,AND,Andorra,2020-04-23T00:00:00.000Z,0,723,0,37
219,AGO,Angola,2020-03-21T00:00:00.000Z,2,2,0,0
220,AGO,Angola,2020-03-22T00:00:00.000Z,0,2,0,0
221,AGO,Angola,2020-03-23T00:00:00.000Z,0,2,0,0
222,AGO,Angola,2020-03-24T00:00:00.000Z,0,2,0,0
223,AGO,Angola,2020-03-25T00:00:00.000Z,0,2,0,0
224,AGO,Angola,2020-03-26T00:00:00.000Z,0,2,0,0
225,AGO,Angola,2020-03-27T00:00:00.000Z,0,2,0,0
226,AGO,Angola,2020-03-28T00:00:00.000Z,0,2,0,0
227,AGO,Angola,2020-03-29T00:00:00.000Z,0,2,0,0
228,AGO,Angola,2020-03-30T00:00:00.000Z,0,2,0,0
229,AGO,Angola,2020-03-31T00:00:00.000Z,5,7,1,1
230,AGO,Angola,2020-04-01T00:00:00.000Z,0,7,1,2
231,AGO,Angola,2020-04-02T00:00:00.000Z,1,8,0,2
232,AGO,Angola,2020-04-03T00:00:00.000Z,0,8,0,2
233,AGO,Angola,2020-04-04T00:00:00.000Z,2,10,0,2
234,AGO,Angola,2020-04-05T00:00:00.000Z,0,10,0,2
235,AGO,Angola,2020-04-06T00:00:00.000Z,4,14,0,2
236,AGO,Angola,2020-04-07T00:00:00.000Z,2,16,0,2
237,AGO,Angola,2020-04-08T00:00:00.000Z,1,17,0,2
238,AGO,Angola,2020-04-09T00:00:00.000Z,2,19,0,2
239,AGO,Angola,2020-04-10T00:00:00.000Z,0,19,0,2
240,AGO,Angola,2020-04-11T00:00:00.000Z,0,19,0,2
241,AGO,Angola,2020-04-12T00:00:00.000Z,0,19,0,2
242,AGO,Angola,2020-04-13T00:00:00.000Z,0,19,0,2
243,AGO,Angola,2020-04-14T00:00:00.000Z,0,19,0,2
244,AGO,Angola,2020-04-15T00:00:00.000Z,0,19,0,2
245,AGO,Angola,2020-04-16T00:00:00.000Z,0,19,0,2
246,AGO,Angola,2020-04-17T00:00:00.000Z,0,19,0,2
247,AGO,Angola,2020-04-18T00:00:00.000Z,0,19,0,2
248,AGO,Angola,2020-04-19T00:00:00.000Z,0,19,0,2
249,AGO,Angola,2020-04-20T00:00:00.000Z,0,19,0,2
250,AGO,Angola,2020-04-21T00:00:00.000Z,5,24,0,2
251,AGO,Angola,2020-04-22T00:00:00.000Z,0,24,0,2
252,AGO,Angola,2020-04-23T00:00:00.000Z,0,24,0,2
253,AIA,Anguilla,2020-03-26T00:00:00.000Z,2,2,0,0
254,AIA,Anguilla,2020-03-27T00:00:00.000Z,0,2,0,0
255,AIA,Anguilla,2020-03-28T00:00:00.000Z,0,2,0,0
256,AIA,Anguilla,2020-03-29T00:00:00.000Z,0,2,0,0
257,AIA,Anguilla,2020-03-30T00:00:00.000Z,0,2,0,0
258,AIA,Anguilla,2020-03-31T00:00:00.000Z,0,2,0,0
259,AIA,Anguilla,2020-04-01T00:00:00.000Z,0,2,0,0
260,AIA,Anguilla,2020-04-02T00:00:00.000Z,0,2,0,0
261,AIA,Anguilla,2020-04-03T00:00:00.000Z,0,2,0,0
262,AIA,Anguilla,2020-04-04T00:00:00.000Z,1,3,0,0
263,AIA,Anguilla,2020-04-05T00:00:00.000Z,0,3,0,0
264,AIA,Anguilla,2020-04-06T00:00:00.000Z,0,3,0,0
265,AIA,Anguilla,2020-04-07T00:00:00.000Z,0,3,0,0
266,AIA,Anguilla,2020-04-08T00:00:00.000Z,0,3,0,0
267,AIA,Anguilla,2020-04-09T00:00:00.000Z,0,3,0,0
268,AIA,Anguilla,2020-04-10T00:00:00.000Z,0,3,0,0
269,AIA,Anguilla,2020-04-11T00:00:00.000Z,0,3,0,0
270,AIA,Anguilla,2020-04-12T00:00:00.000Z,0,3,0,0
271,AIA,Anguilla,2020-04-13T00:00:00.000Z,0,3,0,0
272,AIA,Anguilla,2020-04-14T00:00:00.000Z,0,3,0,0
273,AIA,Anguilla,2020-04-15T00:00:00.000Z,0,3,0,0
274,AIA,Anguilla,2020-04-16T00:00:00.000Z,0,3,0,0
275,AIA,Anguilla,2020-04-17T00:00:00.000Z,0,3,0,0
276,AIA,Anguilla,2020-04-18T00:00:00.000Z,0,3,0,0
277,AIA,Anguilla,2020-04-19T00:00:00.000Z,0,3,0,0
278,AIA,Anguilla,2020-04-20T00:00:00.000Z,0,3,0,0
279,AIA,Anguilla,2020-04-21T00:00:00.000Z,0,3,0,0
280,AIA,Anguilla,2020-04-22T00:00:00.000Z,0,3,0,0
281,AIA,Anguilla,2020-04-23T00:00:00.000Z,0,3,0,0
282,ATG,Antigua and Barbuda,2020-03-13T00:00:00.000Z,1,1,0,0
283,ATG,Antigua and Barbuda,2020-03-14T00:00:00.000Z,0,1,0,0
284,ATG,Antigua and Barbuda,2020-03-15T00:00:00.000Z,0,1,0,0
285,ATG,Antigua and Barbuda,2020-03-16T00:00:00.000Z,0,1,0,0
286,ATG,Antigua and Barbuda,2020-03-17T00:00:00.000Z,0,1,0,0
287,ATG,Antigua and Barbuda,2020-03-18T00:00:00.000Z,0,1,0,0
288,ATG,Antigua and Barbuda,2020-03-19T00:00:00.000Z,0,1,0,0
289,ATG,Antigua and Barbuda,2020-03-20T00:00:00.000Z,0,1,0,0
290,ATG,Antigua and Barbuda,2020-03-21T00:00:00.000Z,0,1,0,0
291,ATG,Antigua and Barbuda,2020-03-22T00:00:00.000Z,0,1,0,0
292,ATG,Antigua and Barbuda,2020-03-23T00:00:00.000Z,0,1,0,0
293,ATG,Antigua and Barbuda,2020-03-24T00:00:00.000Z,2,3,0,0
294,ATG,Antigua and Barbuda,2020-03-25T00:00:00.000Z,0,3,0,0
295,ATG,Antigua and Barbuda,2020-03-26T00:00:00.000Z,0,3,0,0
296,ATG,Antigua and Barbuda,2020-03-27T00:00:00.000Z,0,3,0,0
297,ATG,Antigua and Barbuda,2020-03-28T00:00:00.000Z,4,7,0,0
298,ATG,Antigua and Barbuda,2020-03-29T00:00:00.000Z,0,7,0,0
299,ATG,Antigua and Barbuda,2020-03-30T00:00:00.000Z,0,7,0,0
300,ATG,Antigua and Barbuda,2020-03-31T00:00:00.000Z,0,7,0,0
301,ATG,Antigua and Barbuda,2020-04-01T00:00:00.000Z,0,7,0,0
302,ATG,Antigua and Barbuda,2020-04-02T00:00:00.000Z,0,7,0,0
303,ATG,Antigua and Barbuda,2020-04-03T00:00:00.000Z,0,7,0,0
304,ATG,Antigua and Barbuda,2020-04-04T00:00:00.000Z,0,7,0,0
305,ATG,Antigua and Barbuda,2020-04-05T00:00:00.000Z,0,7,0,0
306,ATG,Antigua and Barbuda,2020-04-06T00:00:00.000Z,0,7,0,0
307,ATG,Antigua and Barbuda,2020-04-07T00:00:00.000Z,8,15,0,0
308,ATG,Antigua and Barbuda,2020-04-08T00:00:00.000Z,0,15,0,0
309,ATG,Antigua and Barbuda,2020-04-09T00:00:00.000Z,4,19,2,2
310,ATG,Antigua and Barbuda,2020-04-10T00:00:00.000Z,0,19,0,2
311,ATG,Antigua and Barbuda,2020-04-11T00:00:00.000Z,0,19,0,2
312,ATG,Antigua and Barbuda,2020-04-12T00:00:00.000Z,2,21,0,2
313,ATG,Antigua and Barbuda,2020-04-13T00:00:00.000Z,0,21,0,2
314,ATG,Antigua and Barbuda,2020-04-14T00:00:00.000Z,2,23,0,2
315,ATG,Antigua and Barbuda,2020-04-15T00:00:00.000Z,0,23,0,2
316,ATG,Antigua and Barbuda,2020-04-16T00:00:00.000Z,0,23,0,2
317,ATG,Antigua and Barbuda,2020-04-17T00:00:00.000Z,0,23,0,2
318,ATG,Antigua and Barbuda,2020-04-18T00:00:00.000Z,0,23,0,2
319,ATG,Antigua and Barbuda,2020-04-19T00:00:00.000Z,0,23,0,2
320,ATG,Antigua and Barbuda,2020-04-20T00:00:00.000Z,0,23,1,3
321,ATG,Antigua and Barbuda,2020-04-21T00:00:00.000Z,0,23,0,3
322,ATG,Antigua and Barbuda,2020-04-22T00:00:00.000Z,0,23,0,3
323,ATG,Antigua and Barbuda,2020-04-23T00:00:00.000Z,1,24,0,3
324,ARG,Argentina,2020-03-03T00:00:00.000Z,1,1,0,0
325,ARG,Argentina,2020-03-04T00:00:00.000Z,0,1,0,0
326,ARG,Argentina,2020-03-05T00:00:00.000Z,0,1,0,0
327,ARG,Argentina,2020-03-06T00:00:00.000Z,1,2,0,0
328,ARG,Argentina,2020-03-07T00:00:00.000Z,7,9,1,1
329,ARG,Argentina,2020-03-08T00:00:00.000Z,3,12,0,1
330,ARG,Argentina,2020-03-09T00:00:00.000Z,0,12,0,1
331,ARG,Argentina,2020-03-10T00:00:00.000Z,0,12,0,1
332,ARG,Argentina,2020-03-11T00:00:00.000Z,5,17,0,1
333,ARG,Argentina,2020-03-12T00:00:00.000Z,2,19,0,1
334,ARG,Argentina,2020-03-13T00:00:00.000Z,12,31,0,1
335,ARG,Argentina,2020-03-14T00:00:00.000Z,14,45,1,2
336,ARG,Argentina,2020-03-15T00:00:00.000Z,0,45,0,2
337,ARG,Argentina,2020-03-16T00:00:00.000Z,11,56,0,2
338,ARG,Argentina,2020-03-17T00:00:00.000Z,9,65,0,2
339,ARG,Argentina,2020-03-18T00:00:00.000Z,32,97,0,2
340,ARG,Argentina,2020-03-19T00:00:00.000Z,0,97,0,2
341,ARG,Argentina,2020-03-20T00:00:00.000Z,31,128,1,3
342,ARG,Argentina,2020-03-21T00:00:00.000Z,30,158,0,3
343,ARG,Argentina,2020-03-22T00:00:00.000Z,0,158,0,3
344,ARG,Argentina,2020-03-23T00:00:00.000Z,67,225,1,4
345,ARG,Argentina,2020-03-24T00:00:00.000Z,76,301,0,4
346,ARG,Argentina,2020-03-25T00:00:00.000Z,0,301,0,4
347,ARG,Argentina,2020-03-26T00:00:00.000Z,201,502,4,8
348,ARG,Argentina,2020-03-27T00:00:00.000Z,0,502,0,8
349,ARG,Argentina,2020-03-28T00:00:00.000Z,87,589,4,12
350,ARG,Argentina,2020-03-29T00:00:00.000Z,101,690,5,17
351,ARG,Argentina,2020-03-30T00:00:00.000Z,55,745,2,19
352,ARG,Argentina,2020-03-31T00:00:00.000Z,75,820,1,20
353,ARG,Argentina,2020-04-01T00:00:00.000Z,146,966,4,24
354,ARG,Argentina,2020-04-02T00:00:00.000Z,88,1054,3,27
355,ARG,Argentina,2020-04-03T00:00:00.000Z,79,1133,4,31
356,ARG,Argentina,2020-04-04T00:00:00.000Z,132,1265,6,37
357,ARG,Argentina,2020-04-05T00:00:00.000Z,88,1353,5,42
358,ARG,Argentina,2020-04-06T00:00:00.000Z,98,1451,2,44
359,ARG,Argentina,2020-04-07T00:00:00.000Z,103,1554,2,46
360,ARG,Argentina,2020-04-08T00:00:00.000Z,74,1628,7,53
361,ARG,Argentina,2020-04-09T00:00:00.000Z,87,1715,7,60
362,ARG,Argentina,2020-04-10T00:00:00.000Z,80,1795,7,67
363,ARG,Argentina,2020-04-11T00:00:00.000Z,134,1929,12,79
364,ARG,Argentina,2020-04-12T00:00:00.000Z,46,1975,3,82
365,ARG,Argentina,2020-04-13T00:00:00.000Z,0,1975,0,82
366,ARG,Argentina,2020-04-14T00:00:00.000Z,277,2252,13,95
367,ARG,Argentina,2020-04-15T00:00:00.000Z,84,2336,6,101
368,ARG,Argentina,2020-04-16T00:00:00.000Z,141,2477,7,108
369,ARG,Argentina,2020-04-17T00:00:00.000Z,121,2598,7,115
370,ARG,Argentina,2020-04-18T00:00:00.000Z,96,2694,7,122
371,ARG,Argentina,2020-04-19T00:00:00.000Z,90,2784,7,129
372,ARG,Argentina,2020-04-20T00:00:00.000Z,55,2839,3,132
373,ARG,Argentina,2020-04-21T00:00:00.000Z,121,2960,4,136
374,ARG,Argentina,2020-04-22T00:00:00.000Z,113,3073,9,145
375,ARG,Argentina,2020-04-23T00:00:00.000Z,124,3197,7,152
376,ARM,Armenia,2020-03-01T00:00:00.000Z,1,1,0,0
